Order,Color,MSD_P100_No_Reag.csv,MSD_P100_day2.csv,MSD_P100_day1.csv,P100_day2.csv,P100_day1.csv,MSD_P100_2.csv,MSD_P100_3.csv,P100_2.csv,P100_3.csv,P100_No_Reag.csv
15,Green,197.78571428571428,60.07142857142857,55.35714285714285,60.07142857142857,55.357142857142854,77.0,67.0,77.0,67.0,197.78571428571428
15,Red,339.06666666666666,55.92857142857143,49.5,55.92857142857143,49.5,78.8,73.66666666666667,78.8,73.66666666666667,339.06666666666666
15,White,820.25,134.06666666666666,120.0,134.06666666666666,120.0,179.85714285714286,164.64285714285714,179.85714285714286,164.64285714285714,820.25
Order,Color,MSD_P100_No_Reag.csv,MSD_P100_day2.csv,MSD_P100_day1.csv,P100_day2.csv,P100_day1.csv,MSD_P100_2.csv,MSD_P100_3.csv,P100_2.csv,P100_3.csv,P100_No_Reag.csv
1,Black,,,,0.5871429486123998,0.5231483637805969,,,0.5104177855340405,0.3940344628262064,1.2096106376585989
1,Blue,,,,1.2926920095594874,1.2680278927697552,,,7.863807836170119,6.320184874044839,3.7570985445798657
1,Green,,,,2.3360528369758353,2.2049727349572255,,,8.368307560586635,5.635770112584862,2.036570413125726
1,Red,,,,2.171240593367239,2.3854719010032794,,,14.565288155323914,9.603818684946802,2.762848771346946
1,White,,,,3.5483061015752573,3.871753632461155,,,32.33338242509775,23.19154197218502,4.2347766568418646
2,Black,,,,0.5104177855340404,0.6048053188292994,,,0.670820393249937,0.4588314677411239,1.0699237552766379
2,Blue,,,,0.9445132413883331,1.3562719801759986,,,8.250039872311941,6.118135250823443,3.3229663349420053
2,Green,,,,1.9210612146613633,1.536848971729089,,,8.233497202919077,6.437982529303655,2.9984122782693094
2,Red,,,,2.022492568707284,1.8296499795368075,,,14.874394745589452,10.367761387612862,3.3813212407775324
2,White,,,,3.442037049135171,3.8284648172789657,,,32.674586017707576,23.963762324850087,4.357806350731562
3,Black,,,,0.4893604849295929,0.6488856845230501,,,0.45883146774112354,0.447213595499958,0.9514531821875089
3,Blue,,,,1.7044832524535805,1.3416407864998725,,,6.508294303182833,5.825533632660886,3.9586680375574517
3,Green,,,,2.213594362117866,1.9566735620873064,,,8.540101482613268,5.29734884276132,2.400396792595915
3,Red,,,,1.6005951274150347,2.052872551885699,,,14.90126233067585,9.40516575383671,3.209361307176253
3,White,,,,3.8551141049137367,3.6826491499876464,,,27.724494928629774,22.26731535981231,3.3000721492834457
4,Black,,,,0.41039134083406165,0.6048053188292994,,,0.5104177855340405,0.4893604849295928,1.0894228312566052
4,Blue,,,,1.7910596686995397,1.1002392084403616,,,6.950198785494895,6.276732304396344,3.3576307436236066
4,Green,,,,2.499523764163695,2.155833724483187,,,9.079018197391798,4.928536921894391,2.869378562220986
4,Red,,,,2.3974192473614275,2.488066757640595,,,14.873754449652967,10.452841946662398,3.0876096471758387
4,White,,,,3.872983346207409,2.7851647809677003,,,32.86125233100385,23.03578995927032,4.620348368642675
5,Black,,,,0.6386663736585051,0.7254762501100116,,,0.6048053188292994,0.41039134083406165,0.8870412083230169
5,Blue,,,,1.6733200530681516,1.1239029738980317,,,7.983370874907149,6.492708460873224,3.4070360633316006
5,Green,,,,2.9856801091687175,1.9651729597938097,,,8.78337173570713,6.289446943662281,3.192252526113224
5,Red,,,,2.1325147238926774,2.2782616597915606,,,13.966285936394927,9.952984716249944,2.6195237662416417
5,White,,,,3.9683269834552366,2.923631140827976,,,33.05320386459209,23.094320060300937,3.7934781125605768
6,Black,,,,0.47016234598162715,0.5104177855340404,,,0.4893604849295929,0.6155870112510924,0.9880869341680844
6,Blue,,,,1.7554426642213126,1.0954451150103321,,,7.7925402925186305,6.188911986686143,3.4561158606310145
6,Green,,,,1.9639610121239317,1.9098740920854025,,,8.351503999138062,6.020599558816294,3.3785034725875014
6,Red,,,,1.8948551898433286,2.527939119218695,,,14.490062275984343,9.215669884960693,3.572380825430672
6,White,,,,3.827220799433849,3.6826491499876437,,,32.40928732264726,22.587923448477653,4.652700188881642
7,Black,,,,0.5871429486123998,0.22360679774997894,,,0.41039134083406165,0.5231483637805969,1.1459310165698642
7,Blue,,,,1.7471781760734555,1.3954814298487226,,,6.939399336966763,5.86582430156599,2.417044737516848
7,Green,,,,2.081665999466135,2.165750722146059,,,8.816380857731312,5.7283754864957865,2.1756225162774334
