Order,Color,P1000.csv,P1000_NRe.csv,P100_NRe.csv,P10_NRe.csv,P100.csv,P10.csv
8,Red,7.94115260915597,3.4441116070628093,2.6520432374554788,2.635833653252615,9.52665433702424,4.316082880178678
8,White,19.249984539264045,4.632699511289792,3.5200108224941866,3.3259441910387886,21.8818254657669,7.453985830540938
9,Black,0.6048053188292992,0.7863975156570493,1.1641577031891932,1.050062654772261,0.47016234598162726,0.6863327411532597
9,Blue,5.467607963461288,3.0192365713345866,3.133435981894569,4.03765174067148,6.156725035105489,3.2682684937698188
9,Green,6.510796893658731,2.964873722517739,2.7548999408709065,2.635833653252618,5.668704483946569,2.258900524358557
9,Red,8.280211637506898,4.238148742305379,3.6101708177499567,3.492849839314615,8.823129776197275,3.722518348798682
9,White,18.8104580840907,4.314427623020878,4.295069155161423,4.426112988896261,21.4393940923623,8.174874398336115
10,Black,0.6407232755171873,0.6155870112510925,1.2096106376585989,0.8255779474818965,0.5525062514530825,0.629152869605896
10,Blue,4.5799908067018755,2.26878126337745,2.7810448623342494,3.013565819319092,5.641948151779523,3.690209622612723
10,Green,6.246141666203689,2.5671922776598173,2.521486612465376,2.256208365926379,4.791439735282288,3.156342820417332
10,Red,8.164674198148075,3.207877209382584,2.795404391905695,3.1060616619151413,9.188502131934861,3.4616951531487157
10,White,19.035805860585576,3.3058389901160434,3.633180424916972,3.868062145558784,22.394939904660017,6.668070027731927
11,Black,0.44426165831931935,0.7880689256524124,0.9787209698591858,0.6863327411532597,0.5501196042201808,
11,Blue,5.146281232726768,2.6675437154213912,2.494203807145474,2.211810403980842,5.556172480366226,
11,Green,6.619236037057876,2.1213203435596424,2.6847522673129682,2.8039088362328672,5.7571465885545585,
11,Red,8.535918507220225,3.139608710833703,2.8393493553813913,2.8191521859628517,9.683073105264912,
11,White,18.754935858264616,4.531372124791053,4.87315288572185,4.915476046315854,22.920670645885185,
12,Black,0.5871429486123998,0.7451598203705945,1.0990426455975697,0.8870412083230169,0.39403446282620624,
12,Blue,4.59834066181544,2.525657809051151,2.4942038071454613,4.652107615173782,6.730918448317046,
12,Green,6.073753056428636,2.866057521105559,2.455391489848628,2.8132340311971333,4.946822478276229,
12,Red,7.995832247698385,3.8846462117516243,3.4565328072533994,2.6699384690609294,9.683073105264922,
12,White,19.75577070606146,5.149202434774326,3.98210281850467,4.674143669980524,21.81393176498953,
13,Black,0.5525062514530825,0.6048053188292994,0.9665456669582608,0.812727700887249,0.5525062514530825,
13,Blue,4.322219215561424,3.393492223902129,3.2101811721295013,3.625567106275283,5.659412281184421,
13,Green,6.592564354020732,2.536401650632908,2.9912152080805927,2.656528346760645,5.505021631010612,
13,Red,7.4520690639132665,3.4873922581070302,2.1580414400893333,3.269629365918435,9.238892945431443,
13,White,18.757093896138898,5.12463703708901,3.680709041423816,4.2381487423053805,22.752812489678657,
