Order,Color,P1000.csv,P1000_NRe.csv,P0.csv,P_soil.csv,P100_NRe.csv,P_emp.csv,P10_NRe.csv,P100.csv,P10.csv,P_urea.csv,P_water.csv
16,Red,,,350.6666666666667,124.66666666666667,,336.0,,,,348.3333333333333,350.6666666666667
16,White,,,811.3333333333334,322.75,,767.25,,,,840.3333333333334,811.3333333333334
17,Black,,,7.0,4.333333333333333,,6.0,,,,7.666666666666667,7.0
17,Blue,,,289.6666666666667,134.66666666666666,,275.0,,,,317.6666666666667,289.6666666666667
17,Green,,,219.0,75.66666666666667,,201.0,,,,229.33333333333334,219.0
17,Red,,,353.3333333333333,126.33333333333333,,335.6666666666667,,,,352.0,353.3333333333333
17,White,,,808.3333333333334,322.0,,770.0,,,,842.3333333333334,808.3333333333334
18,Black,,,6.666666666666667,4.333333333333333,,6.0,,,,7.666666666666667,6.666666666666667
18,Blue,,,291.0,133.33333333333334,,276.0,,,,317.0,291.0
18,Green,,,217.33333333333334,74.0,,197.66666666666666,,,,226.0,217.33333333333334
18,Red,,,353.6666666666667,122.33333333333333,,336.6666666666667,,,,348.3333333333333,353.6666666666667
18,White,,,810.3333333333334,321.0,,767.0,,,,845.3333333333334,810.3333333333334
19,Black,,,6.333333333333333,4.0,,6.0,,,,7.666666666666667,6.333333333333333
19,Blue,,,288.0,132.33333333333334,,279.6666666666667,,,,319.0,288.0
19,Green,,,220.0,74.66666666666667,,200.0,,,,229.33333333333334,220.0
19,Red,,,350.6666666666667,122.33333333333333,,331.3333333333333,,,,348.6666666666667,350.6666666666667
19,White,,,807.6666666666666,317.3333333333333,,771.0,,,,844.3333333333334,807.6666666666666
20,Black,,,6.666666666666667,5.0,,6.666666666666667,,,,7.666666666666667,6.666666666666667
20,Blue,,,289.3333333333333,135.66666666666666,,276.3333333333333,,,,315.3333333333333,289.3333333333333
20,Green,,,216.33333333333334,74.66666666666667,,199.33333333333334,,,,227.33333333333334,216.33333333333334
20,Red,,,349.3333333333333,121.66666666666667,,334.0,,,,349.3333333333333,349.3333333333333
20,White,,,809.3333333333334,320.3333333333333,,767.3333333333334,,,,843.3333333333334,809.3333333333334
21,Black,,,7.0,4.333333333333333,,6.333333333333333,,,,8.0,7.0
