Order,Color,P10_O7.csv,P10_O6.csv,P10_O4.csv,P10_n.csv,P10_O5.csv,P10_O1.csv,P10_O2.csv,P10_O3.csv,P10_No_Reag.csv
12,Green,,,,4.226334672254985,,,,,2.8132340311971333
12,Red,,,,8.12081393997049,,,,,2.6699384690609294
12,White,,,,21.873772074379534,,,,,4.674143669980524
13,Black,,,,0.8506963092234008,,,,,0.812727700887249
13,Blue,,,,8.638195474323997,,,,,3.625567106275283
13,Green,,,,4.3806935741359565,,,,,2.656528346760645
13,Red,,,,8.346370753920803,,,,,3.269629365918435
13,White,,,,20.731618364228094,,,,,4.2381487423053805
14,Black,,,,0.8013147091860319,,,,,0.638666373658505
14,Blue,,,,9.023944755336688,,,,,3.290736599672039
14,Green,,,,4.515581489739277,,,,,2.5755258362775812
14,Red,,,,7.426144292135687,,,,,3.655393927048736
14,White,,,,21.155658929986195,,,,,3.525417908358043
15,Black,,,,0.7784989441615231,,,,,0.38924947208076144
15,Blue,,,,9.768533279067153,,,,,2.6628760937957887
15,Green,,,,3.6554941338535016,,,,,2.907670107585359
15,Red,,,,10.655415467633299,,,,,3.425021055522039
15,White,,,,16.364225578617464,,,,,2.278663575938253
