Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
14,Red,3.915780041490247,4.112987559751022,2.6457513110645907,3.415650255319873,3.5,2.6299556396765835,3.651483716701105,5.416025603090644,1.5000000000000016,2.8867513459481358,2.0615528128088223,2.0816659994661326,2.061552812808836,4.99165971062398,3.593976442141302,1.707825127659933,5.802298395176403,1.9148542155126735,3.9475730941090057,3.593976442141302
14,White,2.645751311064598,12.675435561221027,6.800735254367722,2.217355782608356,6.238322424070967,2.5166114784235947,2.0000000000000093,2.217355782608345,13.375973484822204,4.24264068711927,2.8284271247461965,5.909032633745273,2.061552812808828,4.96655480858378,4.425306015783901,4.396968652757639,17.972200755611414,2.0615528128088303,3.915780041490251,1.8257418583505485
15,Black,0.0,0.4999999999999999,0.5773502691896257,0.5,0.5,0.0,0.5,0.957427107756338,0.4999999999999999,0.957427107756338,0.5,0.5,0.4999999999999999,0.957427107756338,0.0,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.5773502691896257,0.0
15,Blue,2.2173557826083528,5.446711546122731,2.9860788111948198,2.217355782608345,1.914854215512676,3.593976442141304,3.4034296427770303,2.4494897427831703,1.4999999999999984,1.7320508075688772,2.081665999466126,2.160246899469287,1.9148542155126735,3.8622100754188224,2.6299556396765835,2.753785273643047,5.560275772537426,0.816496580927726,1.8929694486000892,4.193248541803047
15,Green,2.75378527364305,7.438637868140459,14.568802284333463,4.654746681256314,3.696845502136475,1.5,3.1622776601683764,2.8722813232690143,15.903353943953675,2.7080128015453147,3.9475730941090057,8.062257748298551,1.2583057392117898,1.8257418583505616,1.73205080756888,3.696845502136479,12.093386622447824,3.55902608401044,3.0000000000000013,0.577350269189634
15,Red,3.774917217635375,4.396968652757647,2.449489742783178,3.4641016151377544,5.057996968497832,1.2583057392117898,2.499999999999999,5.507570547286103,2.645751311064589,3.872983346207417,2.1602468994692847,0.5,3.403429642777018,2.7080128015453164,2.6299556396765835,2.3629078131262973,3.1622776601683715,2.0615528128088223,4.242640687119279,3.1091263510296048
15,White,3.2015621187164345,10.904891868637046,5.507570547286097,2.160246899469291,7.804912982645396,4.546060565661967,1.7078251276599303,3.2015621187164243,12.355835328567093,3.78593889720019,2.3804761428476167,6.557438524301986,3.593976442141304,5.916079783099616,1.4999999999999842,5.5,17.13670524536926,3.741657386773931,1.5,2.362907813126318
16,Black,0.5,0.4999999999999999,0.5,0.5773502691896257,0.4999999999999999,0.5773502691896257,1.0,0.0,0.4999999999999999,0.5773502691896258,0.0,0.4999999999999999,0.5,0.5773502691896257,0.5773502691896257,0.5773502691896258,0.5,0.5773502691896257,0.0,0.5773502691896257
16,Blue,2.0615528128088245,5.802298395176403,2.217355782608345,1.4142135623730951,1.707825127659931,4.991659710623983,2.8722813232690143,1.707825127659933,3.8729833462074144,4.645786621588784,1.1547005383792517,2.4494897427831743,2.160246899469287,1.7320508075688772,3.3040379335998327,1.0,6.344288770224766,2.0,3.0,1.4142135623730985
16,Green,6.291528696058955,4.546060565661958,15.022205785658338,3.0,2.0615528128088245,3.872983346207422,4.112987559751022,4.645786621588787,15.297058540778346,2.160246899469287,3.774917217635375,9.05538513813742,0.9574271077563404,1.7078251276599372,2.217355782608345,1.290994448735813,18.13835714721706,2.5,2.160246899469287,3.774917217635375
16,Red,1.7320508075688772,4.242640687119287,2.3804761428476167,4.082482904638626,2.999999999999992,5.315072906367325,1.9999999999999951,2.516611478423589,2.5000000000000067,2.943920288775949,2.8722813232690143,3.8622100754188224,2.449489742783186,2.0816659994661397,3.415650255319862,4.08248290463863,4.546060565661954,2.3804761428476167,0.5773502691896257,2.160246899469287
16,White,3.415650255319869,15.370426148939412,7.118052168020872,3.304037933599835,6.480740698407863,2.581988897471611,3.5118845842842625,3.1091263510296048,11.47460965203899,1.2583057392117951,3.872983346207412,2.943920288775949,1.2583057392118029,4.396968652757625,4.690415759823422,4.242640687119285,21.710212650578384,2.581988897471611,2.217355782608356,0.957427107756338
17,Black,0.4999999999999999,0.0,0.4999999999999999,0.5,0.4999999999999999,0.4999999999999999,0.5773502691896257,0.0,0.5,0.5773502691896257,0.4999999999999999,0.5773502691896257,0.5773502691896257,0.4999999999999999,0.0,0.5773502691896257,0.0,0.5773502691896257,0.4999999999999999,0.0
17,Blue,3.6968455021364672,4.349329450233292,2.1602468994692834,2.7080128015453147,1.2909944487358056,2.061552812808836,2.0615528128088223,2.217355782608345,1.2583057392117898,2.581988897471611,3.8622100754188224,2.645751311064587,2.0615528128088294,1.707825127659933,3.3166247903554,2.1602468994692847,6.601767440112794,4.690415759823424,1.91485421551268,3.1622776601683777
