Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
15,Blue,265.25,239.5,228.25,269.25,217.5,264.25,286.25,285.0,269.25,220.5,298.5,195.0,269.5,228.75,272.75,227.25,260.75,276.0,237.25,287.25
15,Green,428.25,382.0,345.75,423.5,333.5,412.25,414.0,446.75,366.75,355.0,411.25,297.5,420.25,352.0,394.5,334.5,372.75,384.0,353.5,436.5
15,Red,326.25,312.0,319.0,332.0,309.25,337.75,330.75,359.5,330.5,300.5,338.0,308.75,340.75,322.0,328.75,300.75,324.0,336.25,315.0,342.5
15,White,940.75,887.75,845.5,942.0,819.25,937.0,942.25,954.75,911.0,822.5,948.5,764.5,944.25,849.5,929.25,812.25,899.5,927.0,850.25,949.75
16,Black,4.75,3.75,4.25,4.5,4.25,3.5,4.5,4.0,4.25,4.5,4.0,3.25,3.75,4.5,4.5,4.5,4.25,3.5,4.0,4.5
16,Blue,266.25,242.5,227.75,270.0,217.25,267.25,285.75,282.75,269.5,219.75,295.0,193.0,269.0,229.5,273.25,225.5,262.25,275.0,235.5,282.0
16,Green,427.75,381.0,343.5,429.5,332.25,408.5,413.75,446.75,368.0,351.0,411.75,298.0,418.75,355.25,398.25,332.5,372.5,385.25,355.0,433.25
16,Red,329.5,315.0,320.5,335.0,310.5,333.75,331.0,358.5,329.75,302.0,335.75,307.75,338.0,323.5,328.5,304.0,321.0,336.5,313.5,340.0
16,White,940.5,885.25,846.0,944.75,816.0,941.0,943.5,953.5,908.5,827.25,948.5,760.0,946.25,853.0,928.0,814.0,898.0,931.0,848.25,948.75
17,Black,5.25,3.0,4.25,5.25,4.25,3.25,4.5,4.0,4.25,4.5,3.75,3.5,3.5,4.25,4.0,4.5,4.0,3.5,4.75,4.0
17,Blue,265.5,237.75,227.0,272.0,217.5,263.75,287.25,285.75,272.75,221.0,297.75,195.5,269.25,230.25,271.5,225.0,262.25,276.0,235.5,286.0
17,Green,430.25,381.75,347.75,428.25,333.25,411.75,416.25,443.5,365.5,352.75,410.5,295.5,419.75,353.75,397.25,334.5,373.75,384.75,356.75,434.75
17,Red,327.25,317.75,321.25,333.75,309.0,336.0,332.5,361.25,330.25,299.0,338.5,309.75,338.75,321.25,328.75,302.0,325.0,334.75,312.5,344.25
17,White,942.0,887.25,847.0,942.0,819.5,937.25,940.5,951.0,912.5,828.5,948.5,765.25,941.0,848.0,930.25,815.75,898.75,927.0,852.25,950.5
18,Black,5.25,3.25,4.5,4.5,4.0,3.5,4.0,4.5,4.5,4.5,3.75,3.0,3.0,4.75,4.25,4.25,4.25,3.75,4.0,4.0
