dataset,sample_name,integration_time_ms,gain,net_intensity_red,net_intensity_green,net_intensity_blue,net_intensity_clear
7_soil_calibration,A,360.0,1.0,1797.5753968253969,1504.874007936508,1686.032738095238,4794.889880952381
7_soil_calibration,D,120.0,1.0,677.5511627906976,581.8279069767442,747.4441860465117,1924.7906976744187
7_soil_calibration,B,2.4,1.0,18.0,15.954954954954955,20.38352638352638,52.90958815958816
7_soil_calibration,A,154.0,1.0,811.7494714587738,682.492600422833,774.2019027484145,2180.8742071881607
7_soil_calibration,Blank,300.0,1.0,2826.4767441860463,2422.110465116279,1502.0116279069766,6750.5988372093025
7_soil_calibration,A,24.0,1.0,147.78571428571428,124.32142857142858,142.33075933075932,398.44755469755466
7_soil_calibration,A,101.0,1.0,570.9026315789474,478.2052631578947,540.8315789473684,1527.9061403508772
7_soil_calibration,A,60.0,1.0,339.05825242718447,285.1422703510082,320.840926064227,908.5373412994772
7_soil_calibration,E,300.0,1.0,1596.4761904761904,1383.4890873015872,1746.5575396825398,4537.521825396825
7_soil_calibration,blank0,614.0,1.0,1235.264184397163,1009.8262411347519,693.781914893617,2890.874113475177
7_soil_calibration,blank,600.0,1.0,1244.2173913043478,1005.894927536232,634.4492753623188,2843.195652173913
7_soil_calibration,BLACK,614.0,4.0,5797.401185770751,4835.822134387352,4108.377470355731,14389.088932806326
7_soil_calibration,E,2.4,1.0,16.0,14.0,17.0,43.92457057505601
7_soil_calibration,BLACK,614.0,16.0,22876.282608695652,18865.11304347826,16080.147826086955,42077.078260869566
7_soil_calibration,C,120.0,1.0,843.3678160919541,710.0323928944619,854.5757575757575,2309.7351097178685
7_soil_calibration,E,60.0,1.0,386.29609929078015,335.0913120567376,422.50531914893617,1097.3554964539007
7_soil_calibration,RED,24.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,BLACK,154.0,1.0,460.44444444444446,386.10719874804386,328.5602503912363,1147.0219092331768
7_soil_calibration,E,199.0,1.0,1114.496870109546,963.8466353677621,1235.87558685446,3180.7323943661972
7_soil_calibration,BLACK,101.0,1.0,311.96153846153845,260.61410256410255,223.83076923076922,777.4769230769231
7_soil_calibration,D,360.0,1.0,1786.1493506493507,1520.8545454545454,1947.0064935064938,5040.164935064935
7_soil_calibration,Blank,540.0,1.0,5.223021582733813,4.44798007747648,2.527116768123962,12.198118428334256
7_soil_calibration,blank,499.0,1.0,1071.654255319149,866.9609929078014,551.7872340425532,2454.904255319149
7_soil_calibration,E,50.0,1.0,324.4166666666667,281.2083333333333,356.29254385964913,923.9565789473684
7_soil_calibration,D,180.0,1.0,964.0364372469636,822.4176788124156,1048.0762483130904,2719.202429149798
7_soil_calibration,E,6144.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,D,154.0,1.0,827.2075949367089,706.073417721519,904.8215189873417,2338.7069620253164
7_soil_calibration,BLACK,360.0,1.0,916.7740259740259,760.2532467532467,649.1571428571428,2270.688311688312
7_soil_calibration,D,101.0,1.0,579.487460815047,498.5559038662487,634.3678160919541,1642.9895506792059
7_soil_calibration,Blank,540.0,1.0,33.21491228070175,25.855263157894736,21.94298245614035,81.01315789473684
7_soil_calibration,A,120.0,1.0,655.1086729362592,547.9817136886103,621.094566353187,1753.8970741901776
7_soil_calibration,A,50.0,1.0,307.21956684092606,258.3924570575056,292.6015683345781,824.7292755787901
7_soil_calibration,blank,614.0,60.0,45642.30434782609,42216.43115942029,37097.710144927536,28632.18115942029
7_soil_calibration,BLACK,180.0,1.0,517.5111111111111,431.0873015873016,370.6936507936508,1287.247619047619
7_soil_calibration,RED,24.0,1.0,70.00462962962963,61.050925925925924,90.875,221.93055555555554
